               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  96,            0.012183,           0.0079206,            0.001187,             0.89078,              0.9622,             0.96923,             0.91734,            0.004877,           0.0031559,            0.000188,             0.00373,             0.00373,             0.00373
                  97,            0.012106,            0.007918,           0.0013713,             0.89094,              0.9625,             0.96924,             0.91787,           0.0048684,           0.0031522,          0.00018721,            0.003664,            0.003664,            0.003664
                  98,             0.01274,           0.0084265,            0.001963,             0.89085,             0.96196,             0.96923,             0.91772,           0.0048613,           0.0031489,          0.00018624,            0.003598,            0.003598,            0.003598
                  99,            0.012436,           0.0081098,           0.0014244,             0.88987,             0.96372,             0.96932,             0.91864,           0.0048516,           0.0031447,          0.00018495,            0.003532,            0.003532,            0.003532
                 100,            0.012125,           0.0078994,           0.0013347,             0.89026,             0.96381,             0.96947,             0.91884,           0.0048427,           0.0031402,          0.00018376,            0.003466,            0.003466,            0.003466
                 101,            0.011992,           0.0077633,           0.0010897,             0.88963,             0.96491,             0.96978,             0.91913,            0.004834,           0.0031376,          0.00018272,              0.0034,              0.0034,              0.0034
                 102,            0.011842,           0.0076584,           0.0012987,             0.89048,             0.96455,             0.96973,             0.91928,            0.004826,            0.003133,          0.00018186,            0.003334,            0.003334,            0.003334
                 103,            0.011724,            0.007644,           0.0010001,             0.88988,              0.9654,             0.96983,             0.91903,           0.0048165,           0.0031297,          0.00018077,            0.003268,            0.003268,            0.003268
                 104,            0.011643,             0.00758,           0.0010702,             0.89092,             0.96465,             0.96985,             0.91938,           0.0048088,           0.0031258,          0.00017994,            0.003202,            0.003202,            0.003202
                 105,            0.011524,           0.0076113,           0.0011136,             0.89215,             0.96415,             0.96986,             0.91949,           0.0048022,           0.0031221,          0.00017908,            0.003136,            0.003136,            0.003136
                 106,            0.011725,           0.0075509,            0.001178,             0.89259,             0.96374,             0.96982,             0.91931,           0.0047945,           0.0031193,          0.00017822,             0.00307,             0.00307,             0.00307
                 107,            0.011428,           0.0075471,           0.0011127,             0.89279,             0.96344,             0.96991,             0.91946,           0.0047888,           0.0031163,           0.0001772,            0.003004,            0.003004,            0.003004
                 108,            0.011553,           0.0074843,           0.0012065,             0.89191,              0.9653,              0.9701,             0.91985,           0.0047822,           0.0031134,           0.0001762,            0.002938,            0.002938,            0.002938
                 109,            0.011525,           0.0074944,           0.0011426,             0.89354,             0.96346,              0.9702,             0.91986,           0.0047753,           0.0031093,          0.00017522,            0.002872,            0.002872,            0.002872
                 110,            0.011221,           0.0074709,            0.001101,             0.89366,             0.96294,             0.96988,             0.91996,           0.0047676,            0.003107,          0.00017432,            0.002806,            0.002806,            0.002806
                 111,            0.011281,           0.0073788,          0.00088181,             0.89426,             0.96348,              0.9699,             0.92002,           0.0047609,           0.0031043,          0.00017338,             0.00274,             0.00274,             0.00274
                 112,            0.011153,           0.0073135,           0.0008659,             0.89424,             0.96356,             0.96997,             0.92003,           0.0047539,           0.0031012,          0.00017249,            0.002674,            0.002674,            0.002674
                 113,            0.010975,           0.0072634,           0.0008073,             0.89399,             0.96321,             0.96998,             0.92015,           0.0047506,           0.0030979,          0.00017153,            0.002608,            0.002608,            0.002608
                 114,            0.010936,           0.0071284,          0.00069718,              0.8951,             0.96321,              0.9701,             0.92013,            0.004745,           0.0030945,          0.00017036,            0.002542,            0.002542,            0.002542
                 115,            0.010844,           0.0070875,          0.00072668,             0.89626,             0.96298,             0.97019,             0.92031,           0.0047396,           0.0030918,          0.00016938,            0.002476,            0.002476,            0.002476
                 116,            0.010931,           0.0070398,          0.00079558,             0.89723,             0.96305,             0.97016,             0.92032,           0.0047339,           0.0030887,          0.00016829,             0.00241,             0.00241,             0.00241
                 117,            0.010694,           0.0069742,          0.00061406,              0.8956,             0.96539,              0.9703,             0.92082,           0.0047261,           0.0030849,          0.00016715,            0.002344,            0.002344,            0.002344
                 118,            0.010846,           0.0070034,            0.000966,             0.89845,             0.96267,             0.97033,             0.92102,           0.0047204,           0.0030816,          0.00016613,            0.002278,            0.002278,            0.002278
                 119,            0.010712,           0.0070303,          0.00084426,             0.89619,             0.96579,             0.97029,              0.9209,           0.0047156,           0.0030787,          0.00016508,            0.002212,            0.002212,            0.002212
                 120,            0.010645,           0.0070211,          0.00073013,             0.89738,             0.96586,              0.9705,             0.92137,            0.004709,           0.0030758,          0.00016396,            0.002146,            0.002146,            0.002146
                 121,            0.010544,           0.0069532,          0.00079185,             0.89836,             0.96586,             0.97057,             0.92137,           0.0047043,           0.0030747,          0.00016293,             0.00208,             0.00208,             0.00208
                 122,            0.010622,           0.0069514,          0.00075916,             0.89827,             0.96586,             0.97058,             0.92147,           0.0046971,           0.0030727,          0.00016193,            0.002014,            0.002014,            0.002014
                 123,            0.010436,           0.0069152,          0.00073696,             0.89949,             0.96582,             0.97058,             0.92179,           0.0046917,           0.0030711,           0.0001608,            0.001948,            0.001948,            0.001948
                 124,            0.010439,           0.0069091,          0.00075947,             0.89951,             0.96569,             0.97064,             0.92182,           0.0046867,           0.0030696,          0.00015971,            0.001882,            0.001882,            0.001882
                 125,              0.0101,           0.0067214,          0.00063697,             0.89946,             0.96566,             0.97063,             0.92189,            0.004683,           0.0030681,          0.00015864,            0.001816,            0.001816,            0.001816
                 126,            0.010203,           0.0067501,          0.00079002,             0.89973,             0.96552,             0.97069,             0.92192,           0.0046774,           0.0030663,          0.00015744,             0.00175,             0.00175,             0.00175
                 127,            0.010159,           0.0067076,          0.00074861,             0.90074,             0.96505,             0.97071,             0.92219,           0.0046729,           0.0030642,          0.00015623,            0.001684,            0.001684,            0.001684
                 128,            0.010131,           0.0067476,          0.00075896,             0.90164,             0.96601,             0.97073,             0.92232,           0.0046678,           0.0030623,          0.00015515,            0.001618,            0.001618,            0.001618
                 129,            0.010072,           0.0066874,          0.00064155,              0.9018,             0.96571,             0.97085,             0.92255,           0.0046626,           0.0030604,           0.0001538,            0.001552,            0.001552,            0.001552
                 130,           0.0098664,           0.0065869,          0.00056038,             0.90104,             0.96675,             0.97091,             0.92275,           0.0046559,           0.0030574,          0.00015253,            0.001486,            0.001486,            0.001486
                 131,           0.0097455,           0.0065513,          0.00062159,             0.90146,             0.96565,             0.97054,             0.92309,           0.0046503,           0.0030562,          0.00015111,             0.00142,             0.00142,             0.00142
                 132,           0.0098341,           0.0065112,          0.00052193,             0.90237,             0.96558,             0.97065,             0.92311,           0.0046468,           0.0030549,          0.00014966,            0.001354,            0.001354,            0.001354
                 133,           0.0096664,            0.006485,          0.00054675,             0.90235,             0.96503,             0.97072,             0.92321,           0.0046379,           0.0030531,          0.00014819,            0.001288,            0.001288,            0.001288
                 134,            0.009623,           0.0064404,          0.00046686,             0.90389,             0.96341,             0.97068,             0.92311,           0.0046303,           0.0030518,          0.00014683,            0.001222,            0.001222,            0.001222
                 135,            0.009626,            0.006404,           0.0005444,             0.90453,             0.96314,              0.9707,             0.92328,           0.0046265,            0.003051,          0.00014522,            0.001156,            0.001156,            0.001156
                 136,           0.0095224,           0.0062889,          0.00051339,             0.90487,             0.96312,             0.97077,              0.9234,           0.0046218,             0.00305,           0.0001436,             0.00109,             0.00109,             0.00109
                 137,           0.0093877,           0.0062995,          0.00049797,               0.905,             0.96285,              0.9708,             0.92357,           0.0046121,           0.0030498,          0.00014198,            0.001024,            0.001024,            0.001024
                 138,           0.0092411,           0.0062402,          0.00048426,             0.90501,             0.96328,             0.97087,             0.92328,           0.0046075,           0.0030502,           0.0001404,            0.000958,            0.000958,            0.000958
                 139,           0.0093295,            0.006193,          0.00046704,             0.90604,             0.96284,              0.9709,             0.92333,           0.0045997,           0.0030502,           0.0001387,            0.000892,            0.000892,            0.000892
                 140,           0.0090465,           0.0061917,          0.00054507,             0.90599,             0.96329,             0.97087,             0.92326,           0.0045935,           0.0030513,          0.00013693,            0.000826,            0.000826,            0.000826
                 141,           0.0092054,           0.0062616,          0.00043728,             0.90706,             0.96227,             0.97088,             0.92366,           0.0045922,           0.0030524,          0.00013511,             0.00076,             0.00076,             0.00076
                 142,           0.0090233,           0.0061228,           0.0004197,             0.90761,             0.96214,             0.97084,             0.92381,           0.0045838,           0.0030527,           0.0001331,            0.000694,            0.000694,            0.000694
                 143,           0.0090721,           0.0060884,          0.00040245,             0.90853,               0.962,             0.97085,             0.92348,           0.0045766,           0.0030534,           0.0001312,            0.000628,            0.000628,            0.000628
                 144,           0.0090295,           0.0060454,          0.00042724,             0.90745,             0.96297,             0.97085,             0.92378,            0.004572,            0.003055,          0.00012926,            0.000562,            0.000562,            0.000562
                 145,           0.0086706,           0.0059785,          0.00040777,              0.9085,             0.96261,             0.97085,             0.92377,           0.0045662,           0.0030566,           0.0001274,            0.000496,            0.000496,            0.000496
                 146,           0.0087415,           0.0060083,          0.00037116,             0.90917,             0.96229,             0.97085,             0.92392,           0.0045595,           0.0030579,           0.0001255,             0.00043,             0.00043,             0.00043
                 147,            0.008576,           0.0059489,          0.00034353,             0.90936,             0.96208,             0.97078,             0.92414,           0.0045538,           0.0030599,          0.00012353,            0.000364,            0.000364,            0.000364
                 148,           0.0084084,           0.0058105,          0.00032207,              0.9096,             0.96199,              0.9708,             0.92417,           0.0045488,           0.0030624,          0.00012153,            0.000298,            0.000298,            0.000298
                 149,           0.0086127,           0.0059604,          0.00027737,              0.9108,             0.96081,             0.97076,             0.92429,           0.0045435,           0.0030655,          0.00011953,            0.000232,            0.000232,            0.000232
