               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.013877,           0.0091542,           0.0021789,             0.87928,             0.97689,             0.96536,             0.88523,           0.0063389,           0.0037565,          0.00046647,            0.002872,            0.002872,            0.002872
                  74,            0.013466,           0.0089804,           0.0021684,             0.90037,             0.96804,             0.96839,             0.88303,            0.006352,           0.0037686,          0.00043534,            0.002773,            0.002773,            0.002773
                  75,             0.01355,           0.0090681,           0.0018802,             0.89324,             0.96022,             0.96268,             0.88005,           0.0062601,           0.0037783,          0.00043062,            0.002674,            0.002674,            0.002674
                  76,            0.013418,           0.0090174,           0.0018487,             0.88634,             0.97315,             0.96764,             0.88654,           0.0061577,           0.0037017,          0.00041534,            0.002575,            0.002575,            0.002575
                  77,             0.01326,            0.008847,           0.0021038,             0.89178,             0.97121,             0.96645,             0.88829,           0.0061477,           0.0037082,           0.0004037,            0.002476,            0.002476,            0.002476
                  78,            0.013391,           0.0088229,            0.002204,             0.89855,             0.97049,              0.9651,             0.88914,           0.0060723,           0.0036797,          0.00043567,            0.002377,            0.002377,            0.002377
                  79,            0.013044,           0.0090166,           0.0015517,             0.89328,              0.9564,             0.96315,             0.88781,           0.0061062,           0.0036861,          0.00043371,            0.002278,            0.002278,            0.002278
                  80,            0.012727,           0.0086702,           0.0016653,             0.88641,             0.96943,             0.96335,             0.88593,            0.006113,           0.0036787,          0.00045346,            0.002179,            0.002179,            0.002179
                  81,            0.012771,           0.0086074,           0.0014069,             0.90072,             0.96368,             0.96578,             0.88727,           0.0061168,           0.0037267,          0.00041208,             0.00208,             0.00208,             0.00208
                  82,            0.012832,           0.0086526,           0.0016161,             0.89529,             0.96635,             0.96542,             0.88739,           0.0061642,           0.0036908,          0.00041761,            0.001981,            0.001981,            0.001981
                  83,            0.012328,           0.0085342,           0.0015075,             0.90535,             0.96351,             0.96593,             0.88725,           0.0060628,           0.0037618,          0.00040624,            0.001882,            0.001882,            0.001882
                  84,            0.012226,           0.0084193,           0.0013263,             0.90707,             0.96647,             0.96742,             0.88724,           0.0060644,           0.0037083,          0.00039825,            0.001783,            0.001783,            0.001783
                  85,             0.01253,            0.008469,           0.0015976,             0.90781,             0.96824,             0.96721,             0.89212,           0.0059723,           0.0037172,          0.00036788,            0.001684,            0.001684,            0.001684
                  86,            0.012459,           0.0085764,           0.0017384,             0.90387,             0.96412,             0.96608,             0.89019,           0.0059417,           0.0036794,          0.00037209,            0.001585,            0.001585,            0.001585
                  87,            0.012294,           0.0082655,           0.0017273,             0.89932,             0.96624,             0.96752,             0.89273,           0.0058672,           0.0036831,          0.00036609,            0.001486,            0.001486,            0.001486
                  88,            0.012076,           0.0084999,           0.0013426,             0.90365,             0.96534,             0.96779,             0.89216,             0.00588,           0.0037082,           0.0003818,            0.001387,            0.001387,            0.001387
                  89,            0.011991,           0.0082684,           0.0015568,             0.91259,             0.95771,             0.96626,             0.89262,           0.0058865,           0.0038007,          0.00036513,            0.001288,            0.001288,            0.001288
                  90,            0.011973,           0.0083047,           0.0014136,             0.90752,              0.9651,             0.96693,             0.89398,           0.0058148,            0.003744,          0.00037395,            0.001189,            0.001189,            0.001189
                  91,             0.01164,           0.0084141,           0.0015537,             0.89903,             0.96697,              0.9668,             0.89321,           0.0057893,           0.0036762,          0.00036678,             0.00109,             0.00109,             0.00109
                  92,            0.011716,           0.0081894,           0.0015349,              0.9082,              0.9672,             0.96879,             0.89463,           0.0058298,           0.0037193,          0.00035404,            0.000991,            0.000991,            0.000991
                  93,            0.011673,           0.0083738,           0.0014927,             0.90919,             0.96488,             0.96992,             0.89724,           0.0057675,           0.0036546,          0.00035063,            0.000892,            0.000892,            0.000892
                  94,            0.011531,            0.008099,           0.0012352,             0.91557,             0.96316,             0.96978,             0.89711,           0.0058279,           0.0037254,          0.00035512,            0.000793,            0.000793,            0.000793
                  95,            0.011477,           0.0079587,           0.0013703,             0.90966,               0.967,             0.96917,             0.89815,           0.0058035,           0.0036825,          0.00034665,            0.000694,            0.000694,            0.000694
                  96,            0.011087,           0.0080839,            0.001395,              0.9093,             0.96329,             0.96836,             0.89792,           0.0057871,           0.0036844,          0.00034367,            0.000595,            0.000595,            0.000595
                  97,            0.011066,           0.0080021,          0.00096121,             0.90132,             0.96576,             0.96802,             0.89889,           0.0057757,           0.0036944,          0.00034239,            0.000496,            0.000496,            0.000496
                  98,            0.011134,            0.007916,           0.0010071,             0.90321,             0.96286,             0.96858,             0.89966,           0.0057615,           0.0036963,          0.00033733,            0.000397,            0.000397,            0.000397
                  99,            0.010945,           0.0078514,           0.0013652,              0.9089,             0.96272,             0.96823,             0.89948,            0.005805,           0.0037037,          0.00034031,            0.000298,            0.000298,            0.000298
